path,SkimSeek_ID,ProjectID,IID,NewID
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//170110-44957842.vcf.gz,170110-44957842,ThermoWesSSK,170110,ThermoWesSSK_170110
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//170154-44957843.vcf.gz,170154-44957843,ThermoWesSSK,170154,ThermoWesSSK_170154
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//170155-44957844.vcf.gz,170155-44957844,ThermoWesSSK,170155,ThermoWesSSK_170155
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//170165-44957845.vcf.gz,170165-44957845,ThermoWesSSK,170165,ThermoWesSSK_170165
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//170167-44957846.vcf.gz,170167-44957846,ThermoWesSSK,170167,ThermoWesSSK_170167
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//170168-44957847.vcf.gz,170168-44957847,ThermoWesSSK,170168,ThermoWesSSK_170168
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//170170-44957848.vcf.gz,170170-44957848,ThermoWesSSK,170170,ThermoWesSSK_170170
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//170172-44957849.vcf.gz,170172-44957849,ThermoWesSSK,170172,ThermoWesSSK_170172
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//170173-44957850.vcf.gz,170173-44957850,ThermoWesSSK,170173,ThermoWesSSK_170173
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//170174-44957851.vcf.gz,170174-44957851,ThermoWesSSK,170174,ThermoWesSSK_170174
/blue/mateescu/gzayas97/For_UF/Skim_Seq/data/UF_SkimSeek/VCF//170208-44957859.vcf.gz,170208-44957859,ThermoWesSSK,170208,ThermoWesSSK_170208
